mode,exit_layer,enforce_eager,iters,warmup,max_new_tokens,total_output_tokens,load_s,total_s,mean_latency_s,output_tps,model_path
full_fp,3,True,3,1,16,48,59.951709601969924,4.339502909919247,1.4465009699730824,11.061174746600924,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
static_fp_tail,3,True,3,1,16,48,59.85040344996378,4.337254949088674,1.4457516496962246,11.066907655517358,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
