policy,num_prompts,max_new_tokens,total_output_tokens,fp_count,ptq_count,ptq_ratio,dual_engine,gpu_memory_utilization,load_s,fp_elapsed_s,ptq_elapsed_s,total_s,output_tps
all_fp,8,16,128,8,0,0.0,False,0.75,30.992440876027104,1.4684716390329413,0.0,1.4684808239690028,87.16491077768535
all_ptq,8,16,128,0,8,1.0,False,0.75,97.49787012697197,0.0,1.354509581986349,1.3545210380107164,94.49834768752208
random,8,16,128,5,3,0.375,True,0.32,84.6363526880159,1.455352129007224,0.880477499042172,2.335845085035544,54.798154560858755
ptq_heavy,8,16,128,1,7,0.875,True,0.32,116.25759153696708,1.4263915359624662,1.2317951539880596,2.6582028180127963,48.1528343633649
