Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
97.6,13527424,4683,2888.6,2848.0,1600,5312,747.5,[CUDA memcpy Device-to-Device]
1.9,260192,227,1146.2,1088.0,896,2112,223.7,[CUDA memcpy Host-to-Device]
0.3,42688,64,667.0,576.0,512,1248,200.2,[CUDA memset]
0.2,29408,32,919.0,896.0,608,1824,285.4,[CUDA memcpy Device-to-Host]
