seq_len,batch_size,exit_layer,mode,median_ms,mean_ms,median_prefill_tps,mean_prefill_tps
1,1,1,full_fp,99.09455897286534,98.87497398303822,10.09137141701015,10.113782686522354
1,1,1,fp_tail,99.04665197245777,99.06192281050608,10.096252423333535,10.09469604090851
1,1,1,ptq_tail,68.38677503401414,68.36297262925655,14.622710304771955,14.627801594046558
1,1,1,ptq_tail_speedup_vs_fp_tail,,,1.4483304984508196,
1,1,3,full_fp,98.94914401229471,99.0017154137604,10.106201624904882,10.100835079681948
1,1,3,fp_tail,99.02940300526097,99.00996400974691,10.098010991209092,10.09999357136981
1,1,3,ptq_tail,68.60857299761847,68.60730620101094,14.57543797091818,14.575707098455716
1,1,3,ptq_tail_speedup_vs_fp_tail,,,1.4433969208002397,
1,1,8,full_fp,98.94670901121572,98.91171301715076,10.106450330618364,10.110026097987053
1,1,8,fp_tail,98.9904219750315,98.92074359813705,10.101987445333162,10.10910314284003
1,1,8,ptq_tail,68.30308894859627,68.43522819690406,14.640626293674401,14.612357207647024
1,1,8,ptq_tail_speedup_vs_fp_tail,,,1.4492817747895705,
1,1,16,full_fp,98.81851205136627,98.81924102082849,10.119561398376408,10.119486748428137
1,1,16,fp_tail,99.10204098559916,99.04832978500053,10.09060953795405,10.096081399561731
1,1,16,ptq_tail,68.33579298108816,68.360152002424,14.633619606591068,14.628405155748348
1,1,16,ptq_tail_speedup_vs_fp_tail,,,1.4502215700200554,
1,1,24,full_fp,98.92331395531073,98.89303358504549,10.10884047467068,10.111935732460118
1,1,24,fp_tail,99.24633096670732,99.17825200827792,10.07593923381868,10.082855663926551
1,1,24,ptq_tail,82.9059110255912,82.91793699609116,12.061866127872625,12.060116739845338
1,1,24,ptq_tail_speedup_vs_fp_tail,,,1.197095957802963,
1,2,1,full_fp,100.34697398077697,100.57499500690028,19.930845153169553,19.885658456784245
1,2,1,fp_tail,100.26198002742603,100.34210360608995,19.94774090291168,19.931812550505633
1,2,1,ptq_tail,68.88051296118647,68.83221658645198,29.035788411259094,29.05616147764234
1,2,1,ptq_tail_speedup_vs_fp_tail,,,1.455592818885114,
1,2,3,full_fp,100.31711601186544,100.52350379992276,19.936777286973058,19.895844498026108
1,2,3,fp_tail,100.33820301759988,100.61356659280136,19.93258738796816,19.87803501782527
1,2,3,ptq_tail,68.79849196411669,68.90696958871558,29.070404639728764,29.024640206025342
1,2,3,ptq_tail_speedup_vs_fp_tail,,,1.458436081272441,
1,2,8,full_fp,100.33762699458748,100.53060000063851,19.9327018179121,19.894440100698663
1,2,8,fp_tail,100.3305219928734,100.49722777912393,19.934113371223788,19.90104646862165
1,2,8,ptq_tail,68.97494499571621,69.02817580848932,28.9960361711664,28.973675989189807
1,2,8,ptq_tail_speedup_vs_fp_tail,,,1.4545937223886813,
1,2,16,full_fp,100.19214794738218,100.34604738466442,19.96164411057779,19.93102919473492
1,2,16,fp_tail,100.08452704641968,100.34421579912305,19.983108868290806,19.931392996321357
1,2,16,ptq_tail,72.63285899534822,72.27744780248031,27.5357465982179,27.671148619768598
1,2,16,ptq_tail_speedup_vs_fp_tail,,,1.377951087576349,
1,2,24,full_fp,100.43263400439173,100.53977339994162,19.913845930920658,19.892624902227613
1,2,24,fp_tail,100.48649000236765,100.5490014096722,19.903173052943497,19.89079923182223
1,2,24,ptq_tail,84.46649997495115,84.47311718482524,23.678026206757796,23.67617138626536
1,2,24,ptq_tail_speedup_vs_fp_tail,,,1.1896608718505832,
1,4,1,full_fp,100.96042504301295,100.9374292101711,39.61948454848372,39.62851076453743
1,4,1,fp_tail,100.8757499512285,100.90025617973879,39.652741138816054,39.643110448348075
1,4,1,ptq_tail,69.11625800421461,69.2242356017232,57.87350350703427,57.78323104950874
1,4,1,ptq_tail_speedup_vs_fp_tail,,,1.4595082671442836,
1,4,3,full_fp,101.0025359573774,100.97239798633382,39.60296602540733,39.61478661268779
1,4,3,fp_tail,100.83468997618183,100.86893121479079,39.66888777011999,39.655421662814895
1,4,3,ptq_tail,68.98534001084045,68.8898042193614,57.98333384123982,58.063744632849534
1,4,3,ptq_tail_speedup_vs_fp_tail,,,1.4616828729167175,
1,4,8,full_fp,100.89222702663392,100.87294320110232,39.64626530588986,39.653844460803725
1,4,8,fp_tail,101.06404003454372,101.09350039856508,39.57886503085369,39.56733107697175
1,4,8,ptq_tail,69.07241401495412,69.09286900190637,57.91023894335014,57.89309458099988
1,4,8,ptq_tail_speedup_vs_fp_tail,,,1.4631606767451828,
1,4,16,full_fp,100.85555200930685,100.99470539717004,39.66068223622319,39.60603661617378
1,4,16,fp_tail,100.90675303945318,100.97196500282735,39.640558035159984,39.61495648706049
1,4,16,ptq_tail,72.3218010389246,72.4423420149833,55.30835712798613,55.216326374051754
1,4,16,ptq_tail_speedup_vs_fp_tail,,,1.395246683432894,
1,4,24,full_fp,101.16119199665263,101.04986658552662,39.540854759128955,39.584416438734024
1,4,24,fp_tail,100.87305400520563,100.92197060585022,39.65380090300009,39.63458081513253
1,4,24,ptq_tail,86.21598995523527,86.22463617939502,46.3951060827216,46.390453787219045
1,4,24,ptq_tail_speedup_vs_fp_tail,,,1.170004010364905,
