batch_size,batch_index,actual_batch_size,mode,prompt_tokens_mean,prompt_tokens_max,prefill_s,decode_s,decode_steps,decode_tokens,decode_step_tps,decode_token_tps,ptq_route_steps,fp_route_steps,avg_route_score
1,0,1,auto,46,46,0.19264939904678613,0.3392555560567416,3,3,8.84289128487623,8.84289128487623,1,2,0.7942708333333334
1,0,1,ptq,46,46,0.11339888500515372,0.23973457503598183,3,3,12.51383952252081,12.51383952252081,3,0,0.7942708333333334
1,0,1,fp,46,46,0.11527833301806822,0.3010902369278483,3,3,9.963790359362946,9.963790359362946,0,3,0.7942708333333334
1,1,1,auto,59,59,0.1170760520035401,0.3013886089902371,3,3,9.953926294862654,9.953926294862654,0,3,0.78515625
1,1,1,ptq,59,59,0.11829475505510345,0.23899642197648063,3,3,12.552489176156898,12.552489176156898,3,0,0.78515625
1,1,1,fp,59,59,0.11658599798101932,0.3016420829226263,3,3,9.945561875627032,9.945561875627032,0,3,0.78515625
1,2,1,auto,66,66,0.1239947639987804,0.3023010999895632,3,3,9.923880528729711,9.923880528729711,0,3,0.7643229166666666
1,2,1,ptq,66,66,0.12044627097202465,0.2389290599967353,3,3,12.556028136723894,12.556028136723894,3,0,0.7643229166666666
1,2,1,fp,66,66,0.12341776501853019,0.3023757580667734,3,3,9.921430273314147,9.921430273314147,0,3,0.7643229166666666
1,3,1,auto,76,76,0.1251681549474597,0.3022876589675434,3,3,9.92432178755306,9.92432178755306,0,3,0.7708333333333334
1,3,1,ptq,76,76,0.12483928696019575,0.24006629100767896,3,3,12.496548296753748,12.496548296753748,3,0,0.7708333333333334
1,3,1,fp,76,76,0.12511250702664256,0.3017392040346749,3,3,9.942360687261738,9.942360687261738,0,3,0.7708333333333334
1,4,1,auto,89,89,0.12826483399840072,0.3030522119952366,3,3,9.899284285861455,9.899284285861455,0,3,0.77734375
1,4,1,ptq,89,89,0.12816972902510315,0.2383012119680643,3,3,12.589109284102348,12.589109284102348,3,0,0.77734375
1,4,1,fp,89,89,0.12804899096954614,0.30261092801811174,3,3,9.913719969228756,9.913719969228756,0,3,0.77734375
1,5,1,auto,84,84,0.12726219702744856,0.30213671404635534,3,3,9.929279893934787,9.929279893934787,0,3,0.77734375
1,5,1,ptq,84,84,0.12685057596536353,0.23928650398738682,3,3,12.537272056756427,12.537272056756427,3,0,0.77734375
1,5,1,fp,84,84,0.1270179699640721,0.3020801370148547,3,3,9.931139563315531,9.931139563315531,0,3,0.77734375
1,6,1,auto,77,77,0.12523487501312047,0.2820348239620216,3,3,10.636984319368928,10.636984319368928,1,2,0.7903645833333334
1,6,1,ptq,77,77,0.12513573799515143,0.23964657296892256,3,3,12.51843480519557,12.51843480519557,3,0,0.7903645833333334
1,6,1,fp,77,77,0.12509733700426295,0.3028185439761728,3,3,9.906923006128892,9.906923006128892,0,3,0.7903645833333334
1,7,1,auto,60,60,0.11730021395487711,0.28144736104877666,3,3,10.659186814972767,10.659186814972767,1,2,0.7864583333333334
1,7,1,ptq,60,60,0.11880308203399181,0.23900886898627505,3,3,12.551835472566808,12.551835472566808,3,0,0.7864583333333334
1,7,1,fp,60,60,0.11698955396423116,0.30187510908581316,3,3,9.93788460759512,9.93788460759512,0,3,0.7864583333333334
2,0,2,auto,52.5,59,0.15745224501006305,0.3177499669836834,3,6,9.441385717450133,18.882771434900267,0,3,0.7903645833333334
2,0,2,ptq,52.5,59,0.1397482759784907,0.24146787606878206,3,6,12.424012870123772,24.848025740247543,3,0,0.7903645833333334
2,0,2,fp,52.5,59,0.13944430503761396,0.310287119995337,3,6,9.668464485554813,19.336928971109625,0,3,0.7903645833333334
2,1,2,auto,71,76,0.18647632701322436,0.3105208199704066,3,6,9.661187936724847,19.322375873449694,0,3,0.7669270833333334
2,1,2,ptq,71,76,0.18599664099747315,0.23979316599434242,3,6,12.510781896389744,25.02156379277949,3,0,0.7669270833333334
2,1,2,fp,71,76,0.18587798404041678,0.31015127804130316,3,6,9.672699138774746,19.345398277549492,0,3,0.7669270833333334
2,2,2,auto,86.5,89,0.19847686402499676,0.3125222190283239,3,6,9.599317479977671,19.198634959955342,0,3,0.7786458333333334
2,2,2,ptq,86.5,89,0.1978935599909164,0.2414304349804297,3,6,12.425939588946934,24.851879177893867,3,0,0.7786458333333334
2,2,2,fp,86.5,89,0.1987576030078344,0.3117285140324384,3,6,9.62375870334345,19.2475174066869,0,3,0.7786458333333334
2,3,2,auto,68.5,77,0.18708884599618614,0.28800837200833485,3,6,10.416363868454425,20.83272773690885,1,2,0.7890625
2,3,2,ptq,68.5,77,0.18709300697082654,0.24008597002830356,3,6,12.49552399770104,24.99104799540208,3,0,0.7890625
2,3,2,fp,68.5,77,0.18696711695520207,0.31144578906241804,3,6,9.632494981008584,19.264989962017168,0,3,0.7890625
4,0,4,auto,61.75,76,0.2882993509992957,0.31998205895069987,3,12,9.375525646149475,37.5021025845979,0,3,0.7786458333333334
4,0,4,ptq,61.75,76,0.2876178700244054,0.2520182160078548,3,12,11.90390142237376,47.61560568949504,3,0,0.7786458333333334
4,0,4,fp,61.75,76,0.2930318269645795,0.317121606960427,3,12,9.460093333767585,37.84037333507034,0,3,0.7786458333333334
4,1,4,auto,77.5,89,0.3184618470259011,0.3221955900080502,3,12,9.311114407012969,37.244457628051876,0,3,0.7838541666666666
4,1,4,ptq,77.5,89,0.31775978999212384,0.2401032810448669,3,12,12.49462309279899,49.97849237119596,3,0,0.7838541666666666
4,1,4,fp,77.5,89,0.31764935702085495,0.3191710709943436,3,12,9.399348100859575,37.5973924034383,0,3,0.7838541666666666
