profile,mode,phase,layer,path,component,count,total_ms,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
full_fp_eager_layer,full_fp,decode,1,fp,attention,31,16.610943734645844,0.5358368946659949,0.5357440114021301,0.5368319749832153,0.5394015908241272,0.5336959958076477,0.5403519868850708
full_fp_eager_layer,full_fp,decode,1,fp,input_norm,31,0.19369599968194962,0.006248258054256439,0.006271999794989824,0.0063680000603199005,0.006512000039219856,0.0060800001956522465,0.006560000125318766
full_fp_eager_layer,full_fp,decode,1,fp,mlp,31,63.08000063896179,2.0348387302890902,2.0352320671081543,2.036832094192505,2.037491273880005,2.0320639610290527,2.0375680923461914
full_fp_eager_layer,full_fp,decode,1,fp,post_attn_norm,31,0.22534399991855025,0.0072691612876951694,0.0072639998979866505,0.007424000184983015,0.0076288000214844946,0.006943999789655209,0.007648000027984381
full_fp_eager_layer,full_fp,decode,1,fp,total,31,80.2564160823822,2.5889166478187806,2.5893759727478027,2.5909440517425537,2.592044711112976,2.584320068359375,2.5923519134521484
full_fp_eager_layer,full_fp,decode,2,fp,attention,31,16.57811188697815,0.5347778028057467,0.5347200036048889,0.5362240076065063,0.5368832051753998,0.5307199954986572,0.5369600057601929
full_fp_eager_layer,full_fp,decode,2,fp,input_norm,31,0.2267839997075498,0.007315612893791929,0.00723200011998415,0.00774399982765317,0.00782080008648336,0.007104000076651573,0.007840000092983246
full_fp_eager_layer,full_fp,decode,2,fp,mlp,31,63.081631660461426,2.0348913438858522,2.0339839458465576,2.0379838943481445,2.0470367908477782,2.030240058898926,2.0488319396972656
full_fp_eager_layer,full_fp,decode,2,fp,post_attn_norm,31,0.21129600051790476,0.006816000016706605,0.006752000190317631,0.007135999854654074,0.007302400143817067,0.006463999859988689,0.007360000163316727
full_fp_eager_layer,full_fp,decode,2,fp,total,31,80.24627137184143,2.588589399091659,2.5882558822631836,2.5914559364318848,2.6018720865249634,2.58188796043396,2.602976083755493
full_fp_eager_layer,full_fp,decode,3,fp,attention,31,16.59664011001587,0.5353754874198667,0.5352960228919983,0.5364800095558167,0.5375839948654175,0.5338879823684692,0.5376319885253906
full_fp_eager_layer,full_fp,decode,3,fp,input_norm,31,0.2448959988541901,0.007899870930780326,0.00774399982765317,0.00825599953532219,0.008601600211113692,0.007615999784320593,0.008736000396311283
full_fp_eager_layer,full_fp,decode,3,fp,mlp,31,63.32576012611389,2.042766455681093,2.042975902557373,2.0451838970184326,2.0481024503707888,2.038559913635254,2.048736095428467
full_fp_eager_layer,full_fp,decode,3,fp,post_attn_norm,31,0.21113600069656968,0.006810838732147409,0.006719999946653843,0.007071999832987785,0.007423999952152371,0.006560000125318766,0.007519999984651804
full_fp_eager_layer,full_fp,decode,3,fp,total,31,80.52716779708862,2.597650574099633,2.5978879928588867,2.600032091140747,2.6040703773498537,2.5920000076293945,2.6053760051727295
full_fp_eager_layer,full_fp,decode,4,fp,attention,31,16.587743937969208,0.5350885141280389,0.5349439978599548,0.5362560153007507,0.5365663886070251,0.5332800149917603,0.536575973033905
full_fp_eager_layer,full_fp,decode,4,fp,input_norm,31,0.22678399924188852,0.007315612878770598,0.00723200011998415,0.007615999784320593,0.007859199866652488,0.0071680000983178616,0.007935999892652035
full_fp_eager_layer,full_fp,decode,4,fp,mlp,31,63.323423862457275,2.0426910923373316,2.042464017868042,2.04585599899292,2.0481855869293213,2.038304090499878,2.048799991607666
full_fp_eager_layer,full_fp,decode,4,fp,post_attn_norm,31,0.22582400031387806,0.007284645171415421,0.00723200011998415,0.007552000228315592,0.00773439989425242,0.006912000011652708,0.00774399982765317
full_fp_eager_layer,full_fp,decode,4,fp,total,31,80.51155209541321,2.5971468417875228,2.5968000888824463,2.6003520488739014,2.6028607845306397,2.592992067337036,2.603071928024292
full_fp_eager_layer,full_fp,decode,5,fp,attention,31,16.647680044174194,0.537021936908845,0.5370240211486816,0.5381760001182556,0.5389920175075531,0.5352640151977539,0.5390400290489197
full_fp_eager_layer,full_fp,decode,5,fp,input_norm,31,0.22771200211718678,0.007345548455393122,0.007296000141650438,0.007712000049650669,0.00782080008648336,0.007104000076651573,0.007840000092983246
full_fp_eager_layer,full_fp,decode,5,fp,mlp,31,63.377920150756836,2.044449037121188,2.0443201065063477,2.0465919971466064,2.0483872652053834,2.038815975189209,2.0486080646514893
full_fp_eager_layer,full_fp,decode,5,fp,post_attn_norm,31,0.21088000014424324,0.006802580649814298,0.006752000190317631,0.007007999811321497,0.007238400122150779,0.006591999903321266,0.007296000141650438
full_fp_eager_layer,full_fp,decode,5,fp,total,31,80.61228775978088,2.6003963793477705,2.60099196434021,2.603071928024292,2.6047135829925536,2.5929598808288574,2.60479998588562
full_fp_eager_layer,full_fp,decode,6,fp,attention,31,16.596671998500824,0.5353765160806717,0.5347840189933777,0.5368319749832153,0.5418208062648773,0.5336959958076477,0.5439040064811707
full_fp_eager_layer,full_fp,decode,6,fp,input_norm,31,0.22943999990820885,0.00740129031961964,0.007327999919652939,0.007712000049650669,0.00786559977568686,0.007040000054985285,0.007903999648988247
full_fp_eager_layer,full_fp,decode,6,fp,mlp,31,63.24995136260986,2.0403210116970922,2.040479898452759,2.0420799255371094,2.0440864324569703,2.0366079807281494,2.04419207572937
