profile,source,request_index,step_index,phase,wall_ms,emitted_tokens,finished
full_fp_cudagraph,baseline,2,23,decode,87.828338,1,False
full_fp_cudagraph,baseline,2,24,decode,87.713199,1,False
full_fp_cudagraph,baseline,2,25,decode,87.818066,1,False
full_fp_cudagraph,baseline,2,26,decode,87.823793,1,False
full_fp_cudagraph,baseline,2,27,decode,87.853202,1,False
full_fp_cudagraph,baseline,2,28,decode,87.808401,1,False
full_fp_cudagraph,baseline,2,29,decode,87.794961,1,False
full_fp_cudagraph,baseline,2,30,decode,87.814258,1,False
full_fp_cudagraph,baseline,2,31,decode,87.893811,1,False
full_fp_cudagraph,baseline,2,32,decode,87.798705,1,True
full_fp_cudagraph,baseline,3,0,prefill,38.524686,0,False
full_fp_cudagraph,baseline,3,1,decode,75.777183,1,False
full_fp_cudagraph,baseline,3,2,decode,87.742863,1,False
full_fp_cudagraph,baseline,3,3,decode,87.753872,1,False
full_fp_cudagraph,baseline,3,4,decode,87.762768,1,False
full_fp_cudagraph,baseline,3,5,decode,87.810642,1,False
full_fp_cudagraph,baseline,3,6,decode,87.814993,1,False
full_fp_cudagraph,baseline,3,7,decode,87.86565,1,False
full_fp_cudagraph,baseline,3,8,decode,87.711151,1,False
full_fp_cudagraph,baseline,3,9,decode,87.76616,1,False
full_fp_cudagraph,baseline,3,10,decode,87.813201,1,False
full_fp_cudagraph,baseline,3,11,decode,87.801873,1,False
full_fp_cudagraph,baseline,3,12,decode,87.807249,1,False
full_fp_cudagraph,baseline,3,13,decode,87.850994,1,False
full_fp_cudagraph,baseline,3,14,decode,87.799729,1,False
full_fp_cudagraph,baseline,3,15,decode,87.741488,1,False
full_fp_cudagraph,baseline,3,16,decode,87.818321,1,False
full_fp_cudagraph,baseline,3,17,decode,87.859922,1,False
full_fp_cudagraph,baseline,3,18,decode,87.771024,1,False
full_fp_cudagraph,baseline,3,19,decode,87.825489,1,False
full_fp_cudagraph,baseline,3,20,decode,87.811537,1,False
full_fp_cudagraph,baseline,3,21,decode,87.826098,1,False
full_fp_cudagraph,baseline,3,22,decode,87.893363,1,False
full_fp_cudagraph,baseline,3,23,decode,87.715823,1,False
full_fp_cudagraph,baseline,3,24,decode,87.762319,1,False
full_fp_cudagraph,baseline,3,25,decode,87.795632,1,False
full_fp_cudagraph,baseline,3,26,decode,87.792368,1,False
full_fp_cudagraph,baseline,3,27,decode,87.755344,1,False
full_fp_cudagraph,baseline,3,28,decode,87.839313,1,False
full_fp_cudagraph,baseline,3,29,decode,87.837201,1,False
full_fp_cudagraph,baseline,3,30,decode,87.798225,1,False
full_fp_cudagraph,baseline,3,31,decode,87.822705,1,False
full_fp_cudagraph,baseline,3,32,decode,87.893811,1,True
full_fp_cudagraph,baseline,4,0,prefill,38.210118,0,False
full_fp_cudagraph,baseline,4,1,decode,75.795262,1,False
full_fp_cudagraph,baseline,4,2,decode,87.639916,1,False
full_fp_cudagraph,baseline,4,3,decode,87.805488,1,False
full_fp_cudagraph,baseline,4,4,decode,87.787952,1,False
full_fp_cudagraph,baseline,4,5,decode,87.899282,1,False
full_fp_cudagraph,baseline,4,6,decode,87.686765,1,False
full_fp_cudagraph,baseline,4,7,decode,87.837713,1,False
full_fp_cudagraph,baseline,4,8,decode,87.77192,1,False
full_fp_cudagraph,baseline,4,9,decode,87.803921,1,False
full_fp_cudagraph,baseline,4,10,decode,87.911379,1,False
full_fp_cudagraph,baseline,4,11,decode,87.70459,1,False
full_fp_cudagraph,baseline,4,12,decode,87.780879,1,False
full_fp_cudagraph,baseline,4,13,decode,87.792144,1,False
full_fp_cudagraph,baseline,4,14,decode,87.810512,1,False
full_fp_cudagraph,baseline,4,15,decode,87.813936,1,False
full_fp_cudagraph,baseline,4,16,decode,87.844306,1,False
full_fp_cudagraph,baseline,4,17,decode,87.752463,1,False
full_fp_cudagraph,baseline,4,18,decode,87.833489,1,False
full_fp_cudagraph,baseline,4,19,decode,87.818961,1,False
full_fp_cudagraph,baseline,4,20,decode,87.816913,1,False
full_fp_cudagraph,baseline,4,21,decode,87.784496,1,False
full_fp_cudagraph,baseline,4,22,decode,87.804945,1,False
full_fp_cudagraph,baseline,4,23,decode,87.840561,1,False
full_fp_cudagraph,baseline,4,24,decode,89.841887,1,False
full_fp_cudagraph,baseline,4,25,decode,87.924819,1,False
full_fp_cudagraph,baseline,4,26,decode,87.642957,1,False
full_fp_cudagraph,baseline,4,27,decode,87.798608,1,False
full_fp_cudagraph,baseline,4,28,decode,87.896851,1,False
full_fp_cudagraph,baseline,4,29,decode,87.769327,1,False
full_fp_cudagraph,baseline,4,30,decode,88.294715,1,False
full_fp_cudagraph,baseline,4,31,decode,88.297564,1,False
full_fp_cudagraph,baseline,4,32,decode,88.899913,1,True
full_fp_cudagraph,profiled,0,0,prefill,40.020144,0,False
full_fp_cudagraph,profiled,0,1,decode,74.993005,1,False
full_fp_cudagraph,profiled,0,2,decode,87.683565,1,False
full_fp_cudagraph,profiled,0,3,decode,87.783119,1,False
full_fp_cudagraph,profiled,0,4,decode,87.84056,1,False
full_fp_cudagraph,profiled,0,5,decode,87.814054,1,False
full_fp_cudagraph,profiled,0,6,decode,87.769986,1,False
full_fp_cudagraph,profiled,0,7,decode,87.864674,1,False
full_fp_cudagraph,profiled,0,8,decode,87.846145,1,False
full_fp_cudagraph,profiled,0,9,decode,87.741859,1,False
full_fp_cudagraph,profiled,0,10,decode,87.826146,1,False
full_fp_cudagraph,profiled,0,11,decode,87.810146,1,False
full_fp_cudagraph,profiled,0,12,decode,87.82525,1,False
full_fp_cudagraph,profiled,0,13,decode,87.792578,1,False
full_fp_cudagraph,profiled,0,14,decode,87.81364,1,False
full_fp_cudagraph,profiled,0,15,decode,87.810918,1,False
full_fp_cudagraph,profiled,0,16,decode,87.933777,1,False
full_fp_cudagraph,profiled,0,17,decode,87.688188,1,False
full_fp_cudagraph,profiled,0,18,decode,87.805287,1,False
full_fp_cudagraph,profiled,0,19,decode,87.821861,1,False
full_fp_cudagraph,profiled,0,20,decode,87.765135,1,False
full_fp_cudagraph,profiled,0,21,decode,87.804616,1,False
full_fp_cudagraph,profiled,0,22,decode,87.815621,1,False
full_fp_cudagraph,profiled,0,23,decode,87.875547,1,False
full_fp_cudagraph,profiled,0,24,decode,87.779404,1,False
full_fp_cudagraph,profiled,0,25,decode,88.433118,1,False
full_fp_cudagraph,profiled,0,26,decode,87.860826,1,False
full_fp_cudagraph,profiled,0,27,decode,87.706612,1,False
full_fp_cudagraph,profiled,0,28,decode,87.661724,1,False
full_fp_cudagraph,profiled,0,29,decode,87.804259,1,False
full_fp_cudagraph,profiled,0,30,decode,87.947179,1,False
full_fp_cudagraph,profiled,0,31,decode,87.681081,1,False
full_fp_cudagraph,profiled,0,32,drain,87.893716,1,True
static_ptq_tail_cudagraph,baseline,0,0,prefill,38.706249,0,False
static_ptq_tail_cudagraph,baseline,0,1,decode,75.549466,1,False
static_ptq_tail_cudagraph,baseline,0,2,decode,37.651858,1,False
static_ptq_tail_cudagraph,baseline,0,3,decode,37.972966,1,False
static_ptq_tail_cudagraph,baseline,0,4,decode,37.972742,1,False
static_ptq_tail_cudagraph,baseline,0,5,decode,38.016645,1,False
static_ptq_tail_cudagraph,baseline,0,6,decode,38.027845,1,False
static_ptq_tail_cudagraph,baseline,0,7,decode,37.999846,1,False
static_ptq_tail_cudagraph,baseline,0,8,decode,37.994982,1,False
static_ptq_tail_cudagraph,baseline,0,9,decode,38.002437,1,False
static_ptq_tail_cudagraph,baseline,0,10,decode,37.994694,1,False
static_ptq_tail_cudagraph,baseline,0,11,decode,38.029284,1,False
static_ptq_tail_cudagraph,baseline,0,12,decode,38.070819,1,False
static_ptq_tail_cudagraph,baseline,0,13,decode,37.960647,1,False
static_ptq_tail_cudagraph,baseline,0,14,decode,38.054947,1,False
static_ptq_tail_cudagraph,baseline,0,15,decode,37.97143,1,False
static_ptq_tail_cudagraph,baseline,0,16,decode,38.027556,1,False
static_ptq_tail_cudagraph,baseline,0,17,decode,37.987653,1,False
static_ptq_tail_cudagraph,baseline,0,18,decode,38.015109,1,False
static_ptq_tail_cudagraph,baseline,0,19,decode,38.068387,1,False
static_ptq_tail_cudagraph,baseline,0,20,decode,38.017444,1,False
static_ptq_tail_cudagraph,baseline,0,21,decode,38.015365,1,False
static_ptq_tail_cudagraph,baseline,0,22,decode,38.013477,1,False
static_ptq_tail_cudagraph,baseline,0,23,decode,38.02394,1,False
static_ptq_tail_cudagraph,baseline,0,24,decode,38.043236,1,False
static_ptq_tail_cudagraph,baseline,0,25,decode,38.044036,1,False
static_ptq_tail_cudagraph,baseline,0,26,decode,38.061187,1,False
static_ptq_tail_cudagraph,baseline,0,27,decode,38.005479,1,False
static_ptq_tail_cudagraph,baseline,0,28,decode,38.053254,1,False
static_ptq_tail_cudagraph,baseline,0,29,decode,37.985032,1,False
static_ptq_tail_cudagraph,baseline,0,30,decode,38.018502,1,False
static_ptq_tail_cudagraph,baseline,0,31,decode,38.04055,1,False
static_ptq_tail_cudagraph,baseline,0,32,decode,38.079333,1,True
static_ptq_tail_cudagraph,baseline,1,0,prefill,38.398745,0,False
static_ptq_tail_cudagraph,baseline,1,1,decode,75.500032,1,False
static_ptq_tail_cudagraph,baseline,1,2,decode,37.877772,1,False
static_ptq_tail_cudagraph,baseline,1,3,decode,38.001447,1,False
static_ptq_tail_cudagraph,baseline,1,4,decode,38.072005,1,False
static_ptq_tail_cudagraph,baseline,1,5,decode,37.991528,1,False
static_ptq_tail_cudagraph,baseline,1,6,decode,38.056837,1,False
static_ptq_tail_cudagraph,baseline,1,7,decode,38.010086,1,False
static_ptq_tail_cudagraph,baseline,1,8,decode,38.012039,1,False
static_ptq_tail_cudagraph,baseline,1,9,decode,37.984263,1,False
static_ptq_tail_cudagraph,baseline,1,10,decode,37.997287,1,False
static_ptq_tail_cudagraph,baseline,1,11,decode,38.003879,1,False
static_ptq_tail_cudagraph,baseline,1,12,decode,38.007751,1,False
static_ptq_tail_cudagraph,baseline,1,13,decode,37.991847,1,False
static_ptq_tail_cudagraph,baseline,1,14,decode,38.017511,1,False
static_ptq_tail_cudagraph,baseline,1,15,decode,38.027814,1,False
static_ptq_tail_cudagraph,baseline,1,16,decode,38.030694,1,False
static_ptq_tail_cudagraph,baseline,1,17,decode,38.079876,1,False
static_ptq_tail_cudagraph,baseline,1,18,decode,37.958089,1,False
static_ptq_tail_cudagraph,baseline,1,19,decode,38.049191,1,False
static_ptq_tail_cudagraph,baseline,1,20,decode,37.990921,1,False
static_ptq_tail_cudagraph,baseline,1,21,decode,37.997545,1,False
static_ptq_tail_cudagraph,baseline,1,22,decode,38.120965,1,False
static_ptq_tail_cudagraph,baseline,1,23,decode,37.991401,1,False
static_ptq_tail_cudagraph,baseline,1,24,decode,38.145476,1,False
static_ptq_tail_cudagraph,baseline,1,25,decode,38.27392,1,False
static_ptq_tail_cudagraph,baseline,1,26,decode,38.127365,1,False
static_ptq_tail_cudagraph,baseline,1,27,decode,38.241025,1,False
static_ptq_tail_cudagraph,baseline,1,28,decode,38.220257,1,False
static_ptq_tail_cudagraph,baseline,1,29,decode,38.082246,1,False
static_ptq_tail_cudagraph,baseline,1,30,decode,37.981898,1,False
static_ptq_tail_cudagraph,baseline,1,31,decode,38.03556,1,False
static_ptq_tail_cudagraph,baseline,1,32,decode,38.030248,1,True
static_ptq_tail_cudagraph,baseline,2,0,prefill,39.491187,0,False
static_ptq_tail_cudagraph,baseline,2,1,decode,74.62394,1,False
static_ptq_tail_cudagraph,baseline,2,2,decode,37.840687,1,False
static_ptq_tail_cudagraph,baseline,2,3,decode,38.006185,1,False
static_ptq_tail_cudagraph,baseline,2,4,decode,38.014409,1,False
static_ptq_tail_cudagraph,baseline,2,5,decode,37.997418,1,False
static_ptq_tail_cudagraph,baseline,2,6,decode,37.994026,1,False
static_ptq_tail_cudagraph,baseline,2,7,decode,38.15162,1,False
static_ptq_tail_cudagraph,baseline,2,8,decode,37.874317,1,False
static_ptq_tail_cudagraph,baseline,2,9,decode,38.012329,1,False
static_ptq_tail_cudagraph,baseline,2,10,decode,37.998761,1,False
static_ptq_tail_cudagraph,baseline,2,11,decode,38.10951,1,False
static_ptq_tail_cudagraph,baseline,2,12,decode,38.181125,1,False
static_ptq_tail_cudagraph,baseline,2,13,decode,37.928142,1,False
static_ptq_tail_cudagraph,baseline,2,14,decode,37.952428,1,False
static_ptq_tail_cudagraph,baseline,2,15,decode,38.004075,1,False
static_ptq_tail_cudagraph,baseline,2,16,decode,38.014634,1,False
static_ptq_tail_cudagraph,baseline,2,17,decode,38.03457,1,False
static_ptq_tail_cudagraph,baseline,2,18,decode,38.030506,1,False
static_ptq_tail_cudagraph,baseline,2,19,decode,38.010987,1,False
static_ptq_tail_cudagraph,baseline,2,20,decode,37.987212,1,False
static_ptq_tail_cudagraph,baseline,2,21,decode,38.071176,1,False
static_ptq_tail_cudagraph,baseline,2,22,decode,37.996747,1,False
static_ptq_tail_cudagraph,baseline,2,23,decode,38.009675,1,False
static_ptq_tail_cudagraph,baseline,2,24,decode,38.047401,1,False
static_ptq_tail_cudagraph,baseline,2,25,decode,38.055241,1,False
static_ptq_tail_cudagraph,baseline,2,26,decode,37.989003,1,False
static_ptq_tail_cudagraph,baseline,2,27,decode,38.031658,1,False
static_ptq_tail_cudagraph,baseline,2,28,decode,37.996971,1,False
static_ptq_tail_cudagraph,baseline,2,29,decode,38.040298,1,False
static_ptq_tail_cudagraph,baseline,2,30,decode,38.062217,1,False
static_ptq_tail_cudagraph,baseline,2,31,decode,38.002827,1,False
static_ptq_tail_cudagraph,baseline,2,32,decode,38.082984,1,True
static_ptq_tail_cudagraph,baseline,3,0,prefill,39.192993,0,False
static_ptq_tail_cudagraph,baseline,3,1,decode,75.058552,1,False
static_ptq_tail_cudagraph,baseline,3,2,decode,37.841233,1,False
static_ptq_tail_cudagraph,baseline,3,3,decode,38.065706,1,False
static_ptq_tail_cudagraph,baseline,3,4,decode,37.973775,1,False
static_ptq_tail_cudagraph,baseline,3,5,decode,37.974798,1,False
static_ptq_tail_cudagraph,baseline,3,6,decode,38.026924,1,False
static_ptq_tail_cudagraph,baseline,3,7,decode,37.989038,1,False
