profile,source,request_index,token_index,arrival_ms,inter_token_ms,token_id
full_fp_cudagraph,baseline,2,16,1432.468906,87.83278600000017,4062
full_fp_cudagraph,baseline,2,17,1520.285851,87.81694500000003,14198
full_fp_cudagraph,baseline,2,18,1608.171054,87.88520299999982,39935
full_fp_cudagraph,baseline,2,19,1696.226693,88.05563900000016,35308
full_fp_cudagraph,baseline,2,20,1784.563715,88.33702199999993,927
full_fp_cudagraph,baseline,2,21,1872.149071,87.58535600000005,279
full_fp_cudagraph,baseline,2,22,1960.002689,87.85361799999987,16053
full_fp_cudagraph,baseline,2,23,2047.842547,87.83985800000005,5679
full_fp_cudagraph,baseline,2,24,2135.56829,87.7257430000002,3221
full_fp_cudagraph,baseline,2,25,2223.396468,87.82817799999975,279
full_fp_cudagraph,baseline,2,26,2311.228997,87.83252900000025,15140
full_fp_cudagraph,baseline,2,27,2399.09084,87.86184299999968,6964
full_fp_cudagraph,baseline,2,28,2486.909065,87.81822499999998,13
full_fp_cudagraph,baseline,2,29,2574.71289,87.80382499999996,578
full_fp_cudagraph,baseline,2,30,2662.535564,87.822674,4062
full_fp_cudagraph,baseline,2,31,2750.437983,87.90241900000001,14198
full_fp_cudagraph,baseline,2,32,2838.24712,87.80913700000019,39935
full_fp_cudagraph,baseline,3,1,115.274595,,578
full_fp_cudagraph,baseline,3,2,203.026131,87.75153599999999,4062
full_fp_cudagraph,baseline,3,3,290.790403,87.76427200000003,14198
full_fp_cudagraph,baseline,3,4,378.563411,87.77300799999995,39935
full_fp_cudagraph,baseline,3,5,466.383173,87.81976200000003,35308
full_fp_cudagraph,baseline,3,6,554.206486,87.82331300000004,927
full_fp_cudagraph,baseline,3,7,642.080904,87.87441799999999,279
full_fp_cudagraph,baseline,3,8,729.805656,87.72475199999997,16053
full_fp_cudagraph,baseline,3,9,817.58292,87.77726399999995,5679
full_fp_cudagraph,baseline,3,10,905.406105,87.82318500000008,3221
full_fp_cudagraph,baseline,3,11,993.217482,87.811377,279
full_fp_cudagraph,baseline,3,12,1081.033659,87.81617699999993,15140
full_fp_cudagraph,baseline,3,13,1168.895309,87.86165000000005,6964
full_fp_cudagraph,baseline,3,14,1256.70771,87.81240099999991,13
full_fp_cudagraph,baseline,3,15,1344.461902,87.7541920000001,578
full_fp_cudagraph,baseline,3,16,1432.288991,87.82708899999989,4062
full_fp_cudagraph,baseline,3,17,1520.157905,87.86891400000013,14198
full_fp_cudagraph,baseline,3,18,1607.940578,87.78267299999993,39935
full_fp_cudagraph,baseline,3,19,1695.775635,87.835057,35308
full_fp_cudagraph,baseline,3,20,1783.596644,87.821009,927
full_fp_cudagraph,baseline,3,21,1871.43119,87.83454600000005,279
full_fp_cudagraph,baseline,3,22,1959.334057,87.90286700000001,16053
full_fp_cudagraph,baseline,3,23,2047.064248,87.73019099999988,5679
full_fp_cudagraph,baseline,3,24,2134.838471,87.77422300000012,3221
full_fp_cudagraph,baseline,3,25,2222.64732,87.80884900000001,279
full_fp_cudagraph,baseline,3,26,2310.452937,87.80561699999998,15140
full_fp_cudagraph,baseline,3,27,2398.220409,87.767472,6964
full_fp_cudagraph,baseline,3,28,2486.069226,87.84881700000005,13
full_fp_cudagraph,baseline,3,29,2573.91526,87.84603400000015,578
full_fp_cudagraph,baseline,3,30,2661.724525,87.80926499999987,4062
full_fp_cudagraph,baseline,3,31,2749.557502,87.83297700000003,14198
full_fp_cudagraph,baseline,3,32,2837.461233,87.90373099999988,39935
full_fp_cudagraph,baseline,4,1,114.919034,,578
full_fp_cudagraph,baseline,4,2,202.568967,87.64993299999999,4062
full_fp_cudagraph,baseline,4,3,290.383768,87.81480099999999,14198
full_fp_cudagraph,baseline,4,4,378.182152,87.798384,39935
full_fp_cudagraph,baseline,4,5,466.091451,87.90929900000003,35308
full_fp_cudagraph,baseline,4,6,553.791145,87.69969400000002,927
full_fp_cudagraph,baseline,4,7,641.637723,87.84657800000002,279
full_fp_cudagraph,baseline,4,8,729.421227,87.783504,16053
full_fp_cudagraph,baseline,4,9,817.235868,87.81464099999994,5679
full_fp_cudagraph,baseline,4,10,905.157935,87.92206699999997,3221
