mode,iters,warmup,max_new_tokens,total_output_tokens,total_s,mean_latency_s,output_tps,model_path
full_fp,3,1,16,48,4.272975271043833,1.4243250903479445,11.233390542949296,/workspace/vllm/RiverEdge/experiments/07_vllm_custom_model/model_adapters_container/full_fp_k3
static_fp_tail,3,1,16,48,4.271800681948662,1.423933560649554,11.236479314878498,/workspace/vllm/RiverEdge/experiments/07_vllm_custom_model/model_adapters_container/static_fp_tail_k3
static_ptq_tail,3,1,16,48,43.48023581993766,14.49341193997922,1.1039498543379525,/workspace/vllm/RiverEdge/experiments/07_vllm_custom_model/model_adapters_container/static_ptq_tail_k3
